id,InstitutionName,Country,Year,total
5856,SB Alliance,France,2014,54
5857,SWS Research Co.Ldt,China - People<U+2019>s Republic,2015,54
5858,Service Commun de la Documentation UAG,MTQ,2015,54
5859,Shanghai WTO Affairs Consultation Center,China - People<U+2019>s Republic,2015,54
5860,The Freedonia Group,United States,2015,54
5861,The University of the West Indies,Trinidad and Tobago,2014,54
5862,Univ of Arkansas - Fort Smith,United States,2016,54
5863,Universidad Adolfo Ib<U+00E1><U+00F1>ez,Chile,2014,54
5864,University of Antananarivo,Madagascar,2015,54
5865,University of Bahrain,Bahrain,2016,54
5866,University of East London,United Kingdom,2014,54
5867,University of Houston,United States,2014,54
5868,University of Rhode Island,United States,2014,54
5869,University of Scranton,United States,2016,54
5870,University of Texas at Dallas Libraries,United States,2014,54
5871,Vysoka skola financni a spravni,Czech Republic,2016,54
5872,Wellcome Trust,United Kingdom,2016,54
5873,Yalova Universitesi,Turkey,2016,54
5874,Agricultural Information Institute of CAAS,China - People<U+2019>s Republic,2014,53
5875,Akme Archive Sp. z o.o.,Poland,2015,53
5876,Al-Farabi Kazakh National University,Kazakhstan,2015,53
5877,Beijing Forestry University,China - People<U+2019>s Republic,2016,53
5878,Central Scientific Library of Academy of Science "Andrei Lupan",Moldova - Republic of,2016,53
5879,DTU Bibliotek,Denmark,2015,53
5880,Entrepreneurship Development Institute of India - EDI,India,2016,53
5881,Eurocontrol HQ,Belgium,2016,53
5882,Fatih Universitesi,Turkey,2015,53
5883,Fondazione Giovanni Agnelli,Italy,2015,53
5884,Germany Trade and Invest,Germany,2015,53
5885,Giri Institute of Development Studies,India,2016,53
5886,Hofstra University,United States,2014,53
5887,IPR Corp,United States,2015,53
5888,ITESM - Campus Puebla,Mexico,2014,53
5889,ITESM - Campus Sinaloa,Mexico,2015,53
5890,Indian Institute of Management - Indore,India,2014,53
5891,J. E. Purkyne University,Czech Republic,2015,53
5892,JCS Economic Research Institute,Kazakhstan,2016,53
5893,KUMAMOTO DAIGAKU FUZOKU TOSHOKAN,Japan,2015,53
5894,Karabuk Universitesi,Turkey,2016,53
5895,Konkurrensverket - Swedish Competition Authority,Sweden,2015,53
5896,METLA,Finland,2015,53
5897,Missouri State University,United States,2016,53
5898,N M ROTHSCHILD AND SONS,United Kingdom,2016,53
5899,National Chung Hsing University,Chinese Taipei,2014,53
5900,Oulu University,Finland,2014,53
5901,Politechnika Bialostocka,Poland,2016,53
5902,Pontif<U+00ED>cia Universidade Cat<U+00F3>lica do Paran<U+00E1>,Brazil,2015,53
5903,Prognos AG Basel,Switzerland,2016,53
5904,Sveriges Kommuner Och Landsting,Sweden,2016,53
5905,Szegedi Tudom<U+00E1>nyegyetem,Hungary,2015,53
5906,Truman State University,United States,2015,53
5907,Universidad de la Serena,Chile,2015,53
5908,University of  North Florida,United States,2016,53
5909,University of Khartoum,Sudan,2016,53
5910,University of Lethbridge,Canada,2014,53
5911,University of Puget Sound,United States,2015,53
5912,Western Union,Austria,2015,53
5913,Ab Sandvik Materials Technology,Sweden,2014,52
5914,All-Russia State Library for Foreign Literature,Russian Federation,2015,52
5915,Auckland City Libraries,New Zealand,2014,52
5916,Bryn Mawr College,United States,2015,52
5917,CBRE Ltd,United Kingdom,2015,52
5918,Energy Research Institute NDRC,China - People<U+2019>s Republic,2015,52
5919,Hanken School of Economics,Finland,2014,52
5920,Harvard Business School (eBaker),United States,2016,52
5921,INPT,France,2016,52
5922,ITESM - Estado de M<U+00E9>xico,Mexico,2015,52
5923,Information Network Security Agency - INSA,Ethiopia,2016,52
5924,Inland Revenue Authority of Singapore (IRAS),Singapore,2014,52
5925,Instituto de Seguros de Portugal,Portugal,2016,52
5926,Jimma University,Ethiopia,2014,52
5927,Kennesaw State University,United States,2015,52
5928,Library and Archives Canada,Canada,2016,52
5929,National Institution for Academic Degrees and University Evaluation,Japan,2016,52
5930,Opetushallitus/ Kirjasto ja tietopalvelu,Finland,2014,52
5931,Oregon State University,United States,2014,52
5932,Philips Healthcare,United States,2014,52
5933,RYUKOKU DAIGAKU,Japan,2014,52
5934,Staffordshire University - Thompson Library,United Kingdom,2014,52
5935,Statskontoret,Sweden,2016,52
5936,Suleyman Sah Universitesi,Turkey,2015,52
5937,Telecom Paristech,France,2014,52
5938,Tomsk State University,Russian Federation,2016,52
5939,UNFPA - United Nations Population Fund,United States,2015,52
5940,Univ Autonoma de Tamaulipas,Mexico,2016,52
5941,Universit<U+00E0> degli Studi di Bari Aldo Moro,Italy,2016,52
5942,Universit<U+00E9> Paris-Est - Marne la Vall<U+00E9>e,France,2014,52
5943,Universita Studi di Macerata,Italy,2014,52
5944,Universiti Malaysia Kelantan,Malaysia,2016,52
5945,Universiti Pendidikan Sultan Idris,Malaysia,2016,52
5946,University of Akron,United States,2014,52
5947,University of Louisville,United States,2016,52
5948,University of San Francisco,United States,2014,52
5949,University of Windsor,Canada,2014,52
5950,Yeditepe Universitesi,Turkey,2014,52
5951,Yeditepe Universitesi,Turkey,2016,52
5952,Badan Pemeriksa Keuangan - BPK,Indonesia,2015,51
5953,Badan Pemeriksa Keuangan - BPK,Indonesia,2016,51
5954,Bates White Llc,United States,2015,51
5955,Beijing Forestry University,China - People<U+2019>s Republic,2015,51
5956,Bethlehem University,Palestinian Authority,2015,51
5957,Boise State University,United States,2015,51
5958,Bowdoin College Library,United States,2014,51
5959,Bowling Green State University,United States,2015,51
5960,Cape Breton University,Canada,2014,51
5961,Case Western Reserve University,United States,2016,51
5962,Chinese Academy of Forestry,China - People<U+2019>s Republic,2015,51
5963,Cologne Business School (CBS),Germany,2015,51
5964,Czech National Bank - Ceska Narodni Banka,Czech Republic,2014,51
5965,DELTA FINANCE,France,2014,51
5966,Davidson College Library,United States,2016,51
5967,EM LYON,France,2016,51
5968,FINPRO,Finland,2016,51
5969,FOLKETINGET,Denmark,2014,51
5970,HAROKOPIO UNIVERSITY.LIBRARY & INFORMATION CENTRE,Greece,2015,51
5971,Health Promotion Administration - Ministry of Health and Welfare,Chinese Taipei,2014,51
5972,Johns Hopkins University,Italy,2015,51
5973,Kazan Federal University,Russian Federation,2015,51
5974,La Banque Postale,France,2015,51
5975,Lappeenranta University of Technology,Finland,2014,51
5976,Legislative Library of British Columbia,Canada,2016,51
5977,Nord universitet,Norway,2014,51
5978,Politechnika Slaska,Poland,2014,51
5979,Russell Sage Foundation,United States,2015,51
5980,SEINAN GAKUIN DAIGAKU,Japan,2014,51
5981,The College of Wooster Libraries,United States,2016,51
5982,Tohokugakuin University Coop,Japan,2015,51
5983,Tohokugakuin University Coop,Japan,2016,51
5984,UC Denver - Auraria Library,United States,2014,51
5985,Universit<U+00E0> degli studi di Palermo-SBA,Italy,2014,51
5986,Universit<U+00E9> du Sud Toulon-Var,France,2016,51
5987,Universiti Kebangsaan Malaysia,Malaysia,2014,51
5988,University of Louisville,United States,2015,51
5989,University of North Dakota,United States,2016,51
5990,University of Thai Chamber of Commerce,Thailand,2016,51
5991,ASMS,New Zealand,2015,50
5992,Adventist University of Africa,Kenya,2016,50
5993,African Development Bank,Tunisia,2015,50
5994,American University in Bulgaria,Bulgaria,2015,50
5995,Banco Central de la Republica Argentina,Argentina,2014,50
5996,CLEVELAND STATE UNIVERSITY LIBRARY,United States,2016,50
5997,Chartered Tax Institute of Malaysia - CTIM,Malaysia,2015,50
5998,Comunidad Universitaria del Golfo Centro AC,Mexico,2014,50
5999,Ecole Polytechnique,France,2014,50
6000,FINPRO,Finland,2015,50
6001,FRB Cleveland,United States,2015,50
6002,Fbt Avocats Sa,Switzerland,2015,50
6003,HK Nord Bibliotekerna,Denmark,2014,50
6004,Indian Institute of Management Rohtak,India,2015,50
6005,InfoTimes,Chinese Taipei,2015,50
6006,Inha University,Korea - Republic of,2014,50
6007,KAGOSHIMA UNIVERSITY,Japan,2016,50
6008,Kadir Has <U+00DC>niversitesi,Turkey,2016,50
6009,Kigali Independent University - ULK,Rwanda,2016,50
6010,LOYOLA MARYMOUNT UNIVERSITY,United States,2014,50
6011,Maccabi Health Services,Israel,2015,50
6012,National Bank of the Republic of Belarus,Belarus,2016,50
6013,Ohio Northern University,United States,2016,50
6014,Skidmore College,United States,2014,50
6015,Smith College,United States,2016,50
6016,Tung Wah College,China - People<U+2019>s Republic,2016,50
6017,UNIVERSIDAD SAN PABLO-CEU,Spain,2015,50
6018,Universidade do Rio de Janeiro,Brazil,2016,50
6019,Universita Urbino Carlo Bo,Italy,2015,50
6020,University of New Brunswick,Canada,2014,50
6021,World Agroforestry Centre (ICRAF),Kenya,2016,50
6022,Zhejiang Gongshang University,China - People<U+2019>s Republic,2014,50
6023,Agritec Plant Research S.R.O.,Czech Republic,2014,49
6024,American University of Central Asia,Kyrgyzstan,2016,49
6025,Ankara Sosyal Bilimler Universitesi,Turkey,2016,49
6026,Artvin Coruh Universitesi,Turkey,2016,49
6027,Association of Finnish Local & Regional Authorities,Finland,2015,49
6028,Balikesir Universitesi,Turkey,2014,49
6029,Banking Regulation and Supervision Agency,Turkey,2015,49
6030,Beit Berl College,Israel,2016,49
6031,Birmingham City University,United Kingdom,2014,49
6032,Cairo University,Egypt,2016,49
6033,Central Economics and Mathematics Institute - Russian Academy of Sciences,Russian Federation,2014,49
6034,Colorado College,United States,2014,49
6035,DI - Confederation of Danish Industry,Denmark,2014,49
6036,EUC Nordvestsj<U+00E6>lland,Denmark,2015,49
6037,Eastern Illinois University,United States,2015,49
6038,F<U+00F6>rs<U+00E4>kringskassan,Sweden,2016,49
6039,HOCHSCHULE FUR TECHNIK UND WIRTSCHAFT,Germany,2014,49
6040,Inst Estad<U+00ED>stica de Catalunya - IDESCAT,Spain,2016,49
6041,Institute of Policy Studies of Sri Lanka,Sri Lanka,2015,49
6042,Institute of Public Administration IE,Ireland,2014,49
6043,Kenya Polytechnic University College,Kenya,2015,49
6044,Korea Inst. of Intellectual Property,Korea - Republic of,2014,49
6045,M<U+00E9>diath<U+00E8>ques de la HEP-BEJUNE,Switzerland,2016,49
6046,North Eastern Hill University,India,2016,49
6047,Okinawa Kokusai Daigaku,Japan,2016,49
6048,Politechnika L<U+00F3>dzka,Poland,2016,49
6049,Politechnika Radomska,Poland,2014,49
6050,SIPRI Library,Sweden,2014,49
6051,Sanofi Aventis Groupe,France,2015,49
6052,UNFPA - United Nations Population Fund,United States,2016,49
6053,US Dept of Education Library,United States,2014,49
6054,Uni Federal do Grande Dourado - UFGD,Brazil,2016,49
6055,Universidade do Estado de Santa Catarina,Brazil,2016,49
6056,coface,France,2015,49
6057,Abo Akademi University,Finland,2014,48
6058,Academic Library of Tallinn University,Estonia,2016,48
6059,Angelo State University,United States,2014,48
6060,Atomic Energy Regulatory Board,India,2014,48
6061,Australian Securities & Investments Commission,Australia,2016,48
6062,Chinese Academy of Intl Trade & Econ Coop - CAITEC,China - People<U+2019>s Republic,2015,48
6063,Clark University,United States,2016,48
6064,Confederaci<U+00F3>n Sindical de Comisiones Obreras,Spain,2014,48
6065,Danish Cancer Society,Denmark,2015,48
6066,Davies Ward Phillips & Vineberg,Canada,2016,48
6067,EUC Nord,Denmark,2015,48
6068,FH Nordhausen,Germany,2014,48
6069,Fiji National University,Fiji,2014,48
6070,Grinnell College Libraries,United States,2014,48
6071,Harper Adams University College,United Kingdom,2014,48
6072,Haute Autorite de Sante,France,2015,48
6073,Hong Kong Institute of Certified Public Accountants,Hong Kong - China,2015,48
6074,IIMA (Kokusai Tsuka Kenkyujo),Japan,2016,48
6075,Indian Institute of Management - Kozhikode,India,2016,48
6076,Institut Laue-Langevin,France,2016,48
6077,Institute of Finance and Economics Mongolia,Mongolia,2016,48
6078,Isik <U+00DC>niversitesi,Turkey,2015,48
6079,James Madison University,United States,2014,48
6080,Jpma/Opir,Japan,2016,48
6081,Kenya Parliament,Kenya,2015,48
6082,La Fabrique de L'industrie,France,2014,48
6083,Long Island University,United States,2015,48
6084,Memphis State University,United States,2016,48
6085,Ministerstwo Rolnictwa I Rozwoju Wsi,Poland,2016,48
6086,NMBU Campus AAS,Norway,2014,48
6087,National Communications Commission,Chinese Taipei,2014,48
6088,National Taipei University,Chinese Taipei,2015,48
6089,New York Times,United States,2016,48
6090,Nilai University,Malaysia,2016,48
6091,Nordic Investment Bank,Finland,2014,48
6092,Plant & Food Research New Zealand,New Zealand,2016,48
6093,Potato Research Institute Havlickuv Brod,Czech Republic,2014,48
6094,Sultan Qaboos University,Oman,2016,48
6095,Towson University,United States,2014,48
6096,US Govt Accounting Office,United States,2014,48
6097,Universidad Dr. Jos<U+00E9> Mat<U+00ED>as Delgado,El Salvador,2015,48
6098,Universita di Catania,Italy,2014,48
6099,University Goce Delcev Stip,Former Yugoslav Republic of Macedonia (FYROM),2015,48
6100,Yangon Institute of Education,Myanmar,2015,48
6101,Yuzuncu Yil Universitesi,Turkey,2016,48
6102,APG Asset Management NV,Netherlands,2014,47
6103,African Medical and Research Foundation,Kenya,2015,47
6104,BOTAS,Turkey,2016,47
6105,Bilecik Seyh Edebali <U+00DC>niversitesi,Turkey,2014,47
6106,Bundeszahn<U+00E4>rztekammer,Germany,2015,47
6107,CEA,France,2014,47
6108,Centre for Strategic & Policy Studies - CSPS,Brunei Darussalam,2015,47
6109,Chinhoyi University of Technology. Library,Zimbabwe,2014,47
6110,Davidson College Library,United States,2015,47
6111,Deutsche Securities Ltd,Japan,2015,47
6112,FUKUI KENRITSU DAIGAKU,Japan,2015,47
6113,Fondazione ENI Enrico Mattei,Italy,2014,47
6114,Fraunhofer-Institut f<U+00FC>r Offene Kommunikationssysteme,Germany,2015,47
6115,Gas Natural SDG SA,Spain,2016,47
6116,H<U+00F8>gskolen i Buskerud,Norway,2015,47
6117,Hochschul- und Landesbibliothek Hochschule Fulda,Germany,2014,47
6118,IMC Fachhochschule Krems Gmbh,Austria,2016,47
6119,Indian Institute of Management - Kolkata,India,2014,47
6120,Instituto Federal Catarinense,Brazil,2016,47
6121,KYUSHU KOKUSAI UNIVERSITY,Japan,2015,47
6122,Kirikkale <U+00DC>niversitesi,Turkey,2015,47
6123,Korea Center for International Finance  - KCIF,Korea - Republic of,2015,47
6124,Lycoming College - Snowden Library,United States,2015,47
6125,Maruzen Co Ltd,Japan,2015,47
6126,NAIKAKUFU,Japan,2016,47
6127,NEPAD,South Africa,2016,47
6128,NSW Trade & Investment,Australia,2016,47
6129,Nihon Seiyaku Kogyo Kyokai,Japan,2015,47
6130,Ontario Medical Association,Canada,2016,47
6131,STM Bilgi Hizmetleri ve Yayincilik San. Tic. Ltd. Sti,Turkey,2015,47
6132,SVKM'S Narsee Monjee Institute of Management Studies,India,2016,47
6133,Sloga Platforma,Slovenia,2016,47
6134,Statskontoret,Sweden,2015,47
6135,TAXPAYERS' ASSOCIATION OF FINLAND,Finland,2014,47
6136,THE REVENUE DEPARTMENT (RD),Thailand,2016,47
6137,Texas Womens University,United States,2016,47
6138,The Henry J. Kaiser Family Foundation,United States,2015,47
6139,Universidad Politecnica de Cartagena,Spain,2015,47
6140,Universidade Federal de Mato Grosso,Brazil,2016,47
6141,Universidade Federal do Piau<U+00ED>,Brazil,2016,47
6142,Universite du Quebec A Rimouski,Canada,2014,47
6143,University of Arkansas,United States,2014,47
6144,University of Rwanda,Rwanda,2014,47
6145,Unknown,United Kingdom,2015,47
6146,Washington College - Miller Library,United States,2016,47
6147,BTU Cottbus Universit<U+00E4>tsbibliothek,Germany,2014,46
6148,Boise State University,United States,2016,46
6149,Catholic University of Eastern Africa,Kenya,2016,46
6150,Central Scientific Library of Academy of Science "Andrei Lupan",Moldova - Republic of,2014,46
6151,Chuka University,Kenya,2015,46
6152,City Business Library,United Kingdom,2014,46
6153,Department of Agriculture - Fisheries & Forestry,Australia,2014,46
6154,Ekonomski Institut EIPF,Slovenia,2016,46
6155,Fraunhofer INT,Germany,2016,46
6156,Fraunhofer-Institut f<U+00FC>r Umwelt- - Sicherheits- und Energietechnik UMSICHT,Germany,2016,46
6157,HS Esslingen,Germany,2016,46
6158,INCEIF,Malaysia,2014,46
6159,INED,France,2014,46
6160,IREDU - Universit<U+00E9> De Bourgogne,France,2015,46
6161,Istanbul Chamber of Commerce,Turkey,2016,46
6162,Korea Institute of Local Finance,Korea - Republic of,2014,46
6163,Macau University of Science & Technology,Macau - China,2014,46
6164,Miami University Library,United States,2014,46
6165,OTH Regensburg,Germany,2015,46
6166,Pacific Lutheran University,United States,2016,46
6167,Police College of Finland - Poliisiammattikorkeakoulu,Finland,2015,46
6168,Queens College,United States,2015,46
6169,Ref Ricerche,Italy,2015,46
6170,Rhodes University,South Africa,2015,46
6171,SCD-BUTC,France,2015,46
6172,Shiv Nadar University,India,2016,46
6173,Sokoine University of Agriculture (SUA),Tanzania - United Republic of,2015,46
6174,Southern Federal University,Russian Federation,2016,46
6175,St Johns University,United States,2016,46
6176,Sun Chon University,Korea - Republic of,2016,46
6177,TSUDAJUKU UNIVERSITY LIBRARY,Japan,2016,46
6178,UN Consortium - UNESCO-IBE,United States,2016,46
6179,Universidade Eduardo Mondlane,Mozambique,2016,46
6180,Universidade Federal de Mato Grosso do Sul - UFMS,Brazil,2016,46
6181,Universit<U+00E0> di Napoli Federico II,Italy,2014,46
6182,Universiti Sultan Zainal Abidin - UniSZA,Malaysia,2016,46
6183,University of Alabama at Birmingham,United States,2014,46
6184,University of Maine,United States,2014,46
6185,University of South Alabama,United States,2015,46
6186,University of Zululand,South Africa,2014,46
6187,Washington and Lee University,United States,2016,46
6188,Azusa Pacific University,United States,2016,45
6189,Bibliothek am Guisanplatz / Eidgen<U+00F6>ssisches Hochschulinstitut f<U+00FC>r Berufsbildung,Switzerland,2014,45
6190,CBI - Confederation of British Industry,United Kingdom,2014,45
6191,Case Western Reserve University,United States,2014,45
6192,Chiang Mai University,Thailand,2014,45
6193,Colorado State University,United States,2014,45
6194,DEPARTAMENT D'INDUSTRIA COMERC I TURISME,Spain,2014,45
6195,Deutsche Bank AG,United Kingdom,2015,45
6196,Ehime Daigaku Toshokan,Japan,2015,45
6197,European Molecular Biology Laboratory,Germany,2015,45
6198,H<U+00F8>gskolen i Buskerud,Norway,2016,45
6199,HBZ-Hochschulbibliothekszentrum NRW,Germany,2014,45
6200,Hochschule Trier Standort Umwelt-Campus Birkenfeld,Germany,2014,45
6201,Hospira - Inc.,United States,2015,45
6202,IDS - British Library for Development Studies,United Kingdom,2014,45
6203,Istanbul Kemerburgaz Universitesi,Turkey,2016,45
6204,KANAGAWA UNIVERSITY,Japan,2014,45
6205,KONAN UNIVERSITY,Japan,2016,45
6206,Kent State University,United States,2014,45
6207,Kuwait University,Kuwait,2016,45
6208,Lawrence University - Seeley G. Mudd Library,United States,2015,45
6209,Loyens & Loeff N.V.,Netherlands,2015,45
6210,MEDREG,Italy,2014,45
6211,MEISEI UNIVERSITY Library,Japan,2015,45
6212,MPOB (Malaysian Palm Oil Board),Malaysia,2015,45
6213,Manhattan College Library,United States,2015,45
6214,Memorial University of Newfoundland,Canada,2014,45
6215,Meru University of Science and Technology,Kenya,2016,45
6216,Mongolia University of Science & Technology,Mongolia,2016,45
6217,Mutare Teachers College,Zimbabwe,2016,45
6218,Nelson Mandela Metropolitan University,South Africa,2014,45
6219,Oliver Wyman,United States,2016,45
6220,PEPPERDINE UNIVERSITY,United States,2015,45
6221,Petercam,Belgium,2015,45
6222,Productivity Commission Library,Australia,2014,45
6223,Rensselaer Hartford Graduate Center,United States,2015,45
6224,SULLIVAN & CROMWELL,France,2015,45
6225,Sichuan Normal University,China - People<U+2019>s Republic,2014,45
6226,Simmons College,United States,2015,45
6227,Stora Enso,Finland,2015,45
6228,TCO -THE SWEDISH CONFEDERATION,Sweden,2016,45
6229,Takushoku University Library,Japan,2014,45
6230,The Stationary Office Ltd,United Kingdom,2014,45
6231,Union Syndicale Suisse,Switzerland,2016,45
6232,Universidad Aut<U+00F3>noma de Nuevo Le<U+00F3>n. Facultad de Econom<U+00ED>a,Mexico,2015,45
6233,Universidad de Cantabria. Biblioteca,Spain,2014,45
6234,Universita Urbino Carlo Bo,Italy,2016,45
6235,University of Gondar,Ethiopia,2014,45
6236,University of World Economy and Diplomacy,Uzbekistan,2015,45
6237,University of Wyoming Libraries,United States,2014,45
6238,University of the Free State,South Africa,2016,45
6239,Upjohn Institute Information Center,United States,2014,45
6240,WELLESLEY COLLEGE,United States,2014,45
6241,Wydzial Zarzadzania i Ekonomiki Uslug Uniwersytet Szczecinski,Poland,2014,45
6242,Bryn Mawr College,United States,2016,44
6243,Caterpillar Inc,United States,2014,44
6244,Chungbuk National University,Korea - Republic of,2015,44
6245,Cr<U+00E9>dit Agricole SA,France,2014,44
6246,Department of State Development,Australia,2016,44
6247,Fachhochschule Salzburg GmbH,Austria,2014,44
6248,Faculty of Economics,Former Yugoslav Republic of Macedonia (FYROM),2015,44
6249,Funda<U+00E7><U+00E3>o Universidade do Rio Grande,Brazil,2015,44
6250,Harran Universitesi,Turkey,2016,44
6251,Hiroshima University of Economics Library,Japan,2016,44
6252,Imamm Mohammed Bin Saud University,Saudi Arabia,2015,44
6253,Instituto Nacional da Propriedade Industrial,Brazil,2016,44
6254,Instituto de Pesquisa Economica Aplicada,Brazil,2014,44
6255,LANDSORGANISATOINEN I SVERIGE,Sweden,2015,44
6256,Le CIEP,France,2015,44
6257,Miljodirektoratet,Norway,2014,44
6258,Mount Holyoke College,United States,2014,44
6259,Mykolas Romeris University Library,Lithuania,2016,44
6260,National Institution for Academic Degrees and University Evaluation,Japan,2015,44
6261,National Library of New Zealand,New Zealand,2016,44
6262,PDVSA Intevep Sa,Venezuela,2015,44
6263,Pacific Lutheran University,United States,2014,44
6264,Police College of Finland - Poliisiammattikorkeakoulu,Finland,2016,44
6265,Riara University,Kenya,2016,44
6266,Saint Louis University,United States,2014,44
6267,Suan Sunandha Rajabhat University,Thailand,2015,44
6268,TAXPAYERS' ASSOCIATION OF FINLAND,Finland,2015,44
6269,The Library of Shanghai Academy Social Sciences,China - People<U+2019>s Republic,2015,44
6270,Trinity College,United States,2015,44
6271,UMM Al-Qura,Saudi Arabia,2015,44
6272,Universidad de Concepci<U+00F3>n,Chile,2014,44
6273,Universitaetsbibliothek fuer Bodenkultur Wien,Austria,2014,44
6274,University of California Merced,United States,2014,44
6275,University of Missouri - Kansas City,United States,2016,44
6276,Unknown,United Kingdom,2014,44
6277,AEGIC,Australia,2015,43
6278,APIFARMA,Portugal,2015,43
6279,Alpiq Management AG,Switzerland,2015,43
6280,BABSON COLLEGE,United States,2014,43
6281,Bundesanstalt fur Geowissenshaften,Germany,2016,43
6282,CENTRAL BANK OF ICELAND,Iceland,2014,43
6283,California Institute of Technology,United States,2016,43
6284,Callaghan Innovation Information,New Zealand,2016,43
6285,Clayton Utz,Australia,2014,43
6286,Colorado School of Mines,United States,2014,43
6287,Fachhochschule Jena,Germany,2014,43
6288,Fraunhofer INT,Germany,2015,43
6289,Fraunhofer-Institut f<U+00FC>r Windenergie und Energiesystemtechnik IWES Kassel,Germany,2016,43
6290,Gruenenthal GmbH,Germany,2014,43
6291,Harvard Business School (eBaker),United States,2015,43
6292,Hochschule F<U+00FC>r Angewandte Wissenschaften - Kempten,Germany,2016,43
6293,Hrvatska gospodarska komora,Croatia,2015,43
6294,Indian Institute of Technology Kharagpur,India,2016,43
6295,Indian Institute of Technology Mumbai,India,2014,43
6296,Institut Quimic de Sarria,Spain,2016,43
6297,International Rice Research Institute - IRRI,Philippines,2015,43
6298,Iona College,United States,2015,43
6299,Johsai University,Japan,2016,43
6300,Kara Harp Okulu,Turkey,2015,43
6301,Kookmin University,Korea - Republic of,2014,43
6302,MEDREG,Italy,2016,43
6303,N M ROTHSCHILD AND SONS,United Kingdom,2015,43
6304,Namik Kemal Universitesi,Turkey,2015,43
6305,Narodna banka Slovenska - Centralna kniznica,Slovak Republic,2014,43
6306,New Mexico State University,United States,2015,43
6307,Ohio University,United States,2014,43
6308,Public Service Commission of Canada,Canada,2015,43
6309,Rat fuer Forschung und Technologieentwicklung,Austria,2016,43
6310,Riksrevisionen Biblioteket,Sweden,2014,43
6311,SCD-BUTC,France,2016,43
6312,Sabanci <U+00DC>niversitesi,Turkey,2014,43
6313,Saint Joseph's University - Drexel Library,United States,2015,43
6314,Secretariat du Conseil du Tresor,Canada,2014,43
6315,Shanghai International Studies,China - People<U+2019>s Republic,2016,43
6316,UIMM,France,2015,43
6317,ULPGC - Universidad de Las Palmas de Gran Canaria,Spain,2014,43
6318,Universidade Federal de Pernambuco,Brazil,2014,43
6319,Universidade Federal de Sergipe,Brazil,2016,43
6320,Universidade Federal do Piau<U+00ED>,Brazil,2014,43
6321,Universit<U+00E0> degli studi di Cagliari,Italy,2014,43
6322,University of Northern Colorado,United States,2016,43
6323,University of the South Pacific,Fiji,2014,43
6324,University of the Western Cape,South Africa,2014,43
6325,Univerze v Mariboru - Faculty of Econ &  Business,Slovenia,2016,43
6326,Wakayama University Library,Japan,2015,43
6327,Waterford Institute of Technology,Ireland,2014,43
6328,Webster University,United States,2016,43
6329,Yuan-Ze University,Chinese Taipei,2016,43
6330,Africa University - Jokomo Yamada Library,Zimbabwe,2014,42
6331,Association of Finnish Local & Regional Authorities,Finland,2016,42
6332,Castr<U+00E9>n & Snellman Attorneys Ltd,Finland,2015,42
6333,FRB Cleveland,United States,2016,42
6334,Fraunhofer-Institut f<U+00FC>r Materialfluss und Logistik,Germany,2016,42
6335,Fundacao de Amparo A Pesquisa Do Estado de Sao Paulo,Brazil,2015,42
6336,HANNAN UNIVERSITY,Japan,2015,42
6337,Harbin Institute of Technology,China - People<U+2019>s Republic,2014,42
6338,Hochschule Bochum,Germany,2014,42
6339,Hochschule Offenburg,Germany,2014,42
6340,Hospira - Inc.,United States,2016,42
6341,Howard Universioty Libraries,United States,2015,42
6342,IMT Alti Studi Lucca,Italy,2014,42
6343,Instituto de Ciencias Sociais da Universidade de Lisboa,Portugal,2016,42
6344,Itri,Chinese Taipei,2015,42
6345,John Carroll University,United States,2015,42
6346,Karlstads Universitetbibliotek,Sweden,2014,42
6347,Labour Maket Information Office,Canada,2015,42
6348,MEIJO UNIVERSITY,Japan,2016,42
6349,Memphis State University,United States,2015,42
6350,Nankai University Library,China - People<U+2019>s Republic,2014,42
6351,National Academy of Administration - LBSNAA,India,2015,42
6352,National Chung Cheng University Library,Chinese Taipei,2014,42
6353,Osterreichischer Wissenschaftsrat,Austria,2015,42
6354,PEMEX,Mexico,2014,42
6355,RHODES COLLEGE,United States,2016,42
6356,Roads and Maritime Services,Australia,2015,42
6357,Smith College,United States,2014,42
6358,St Augustine University of Tanzania,Tanzania - United Republic of,2016,42
6359,Statoil,Norway,2014,42
6360,Tianjin College of Finance and Economics,China - People<U+2019>s Republic,2015,42
6361,Tokyo Keizai University,Japan,2016,42
6362,UNIVERSITE DE BRETAGNE SUD,France,2016,42
6363,Uni<U+00E3>o Geral de Trabalhadores,Portugal,2015,42
6364,Universidad Rey Juan Carlos. Biblioteca,Spain,2014,42
6365,Universidade Federal de Mato Grosso do Sul - UFMS,Brazil,2015,42
6366,Universidade Federal do Piau<U+00ED>,Brazil,2015,42
6367,Universite D Artois - I 894,France,2015,42
6368,University of Wolverhampton,United Kingdom,2014,42
6369,Willamette University,United States,2015,42
6370,William Paterson University,United States,2016,42
6371,APEC Secretariat,Singapore,2015,41
6372,APG Asset Management NV,Netherlands,2016,41
6373,BABSON COLLEGE,United States,2016,41
6374,BANK OF SLOVENIA LIBRARY,Slovenia,2014,41
6375,BHF-Bank AG,Germany,2015,41
6376,Bibliotheque de L'IUT de Quimper,France,2015,41
6377,Brooklyn Law School,United States,2015,41
6378,CONOCER,Mexico,2016,41
6379,Cheminova A/S,Denmark,2014,41
6380,Chongqing Technology and Business University,China - People<U+2019>s Republic,2015,41
